touch,people_who_got_this_touch,replied_after_it,reply_rate_pct,lo_pct,hi_pct,left_because_rep_stopped
1,8146,333,4.09,3.68,4.54,0
2,6204,310,5.0,4.48,5.57,1609
3,3132,110,3.51,2.92,4.22,2762
4,942,30,3.18,2.24,4.51,2080
5,448,20,4.46,2.91,6.79,464
6,226,9,3.98,2.11,7.39,202
7,103,8,7.77,3.99,14.58,114
8,71,4,5.63,2.21,13.61,24
