touch,people_who_got_this_touch,replied_after_it,reply_rate_pct,lo_pct,hi_pct,left_because_rep_stopped
1,3486,203,5.82,5.09,6.65,0
2,1974,119,6.03,5.06,7.17,1309
3,1095,48,4.38,3.32,5.76,760
4,509,11,2.16,1.21,3.83,538
5,279,9,3.23,1.71,6.02,219
6,140,4,2.86,1.12,7.12,130
7,75,2,2.67,0.73,9.21,61
8,37,2,5.41,1.5,17.7,36
