touch,people_who_got_this_touch,replied_after_it,reply_rate_pct,lo_pct,hi_pct,left_because_rep_stopped
1,15586,1448,9.29,8.84,9.76,0
2,10202,820,8.04,7.53,8.58,3936
3,5176,270,5.22,4.64,5.86,4206
4,2007,84,4.19,3.39,5.15,2899
5,1081,53,4.9,3.77,6.36,842
6,543,24,4.42,2.99,6.49,485
7,286,12,4.2,2.42,7.19,233
8,189,6,3.17,1.46,6.75,85
