touch,people_who_got_this_touch,replied_after_it,reply_rate_pct,lo_pct,hi_pct,left_because_rep_stopped
1,3107,181,5.83,5.06,6.71,0
2,1617,96,5.94,4.89,7.2,1309
3,809,31,3.83,2.71,5.39,712
4,303,10,3.3,1.8,5.97,475
5,149,4,2.68,1.05,6.7,144
6,58,1,1.72,0.3,9.14,87
7,30,0,0.0,0.0,11.35,27
8,14,2,14.29,4.01,39.94,16
