touch,people_who_got_this_touch,replied_after_it,reply_rate_pct,lo_pct,hi_pct,left_because_rep_stopped
1,14514,1350,9.3,8.84,9.78,0
2,9228,735,7.96,7.43,8.53,3936
3,4394,220,5.01,4.4,5.69,4099
4,1485,66,4.44,3.51,5.62,2689
5,748,37,4.95,3.61,6.74,671
6,343,16,4.66,2.89,7.44,368
7,165,9,5.45,2.9,10.04,162
8,107,6,5.61,2.6,11.7,49
