touch,people_who_got_this_touch,replied_after_it,reply_rate_pct,lo_pct,hi_pct,left_because_rep_stopped
1,8591,352,4.1,3.7,4.54,0
2,6630,334,5.04,4.54,5.59,1609
3,3505,125,3.57,3.0,4.23,2791
4,1178,39,3.31,2.43,4.49,2202
5,605,26,4.3,2.95,6.22,534
6,313,13,4.15,2.44,6.98,266
7,159,9,5.66,3.01,10.41,141
8,115,4,3.48,1.36,8.6,35
